epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,448.416,0.84528,0.61808,0.86601,0.96124,0.52941,0.6764,0.37256,1.58223,2.00582,1.19304,0.000632793,0.000632793,0.000632793
96,452.702,0.85163,0.62774,0.87209,0.7947,0.63235,0.67353,0.38225,1.60532,1.95655,1.21761,0.000621791,0.000621791,0.000621791
97,457.918,0.88782,0.61686,0.8809,0.89392,0.61765,0.67543,0.37807,1.62417,2.02895,1.24107,0.000610789,0.000610789,0.000610789
98,461.758,0.85257,0.6036,0.87208,0.89566,0.58824,0.67887,0.36475,1.57491,2.02472,1.21272,0.000599787,0.000599787,0.000599787
99,465.477,0.85707,0.60034,0.85542,0.92443,0.57353,0.66797,0.35942,1.58879,2.03325,1.21417,0.000588784,0.000588784,0.000588784
100,470.79,0.92847,0.65452,0.8672,0.92483,0.54281,0.63727,0.35083,1.62213,2.24283,1.22771,0.000577782,0.000577782,0.000577782
101,474.762,0.86571,0.61874,0.86828,0.91533,0.54412,0.63029,0.34747,1.5722,2.26114,1.20512,0.00056678,0.00056678,0.00056678
102,478.758,0.8598,0.59859,0.87297,0.90734,0.54412,0.63732,0.34804,1.54901,2.15319,1.19303,0.000555778,0.000555778,0.000555778
103,483.763,0.85029,0.60615,0.85807,0.89597,0.55882,0.63988,0.34809,1.58253,2.03354,1.19248,0.000544776,0.000544776,0.000544776
104,487.902,0.87205,0.60898,0.85471,0.89975,0.60294,0.67838,0.39481,1.52633,1.93537,1.17754,0.000533773,0.000533773,0.000533773
105,491.692,0.8426,0.58244,0.86585,0.89275,0.60294,0.68528,0.38813,1.5053,1.93523,1.17879,0.000522771,0.000522771,0.000522771
106,496.417,0.82484,0.56976,0.85142,0.90636,0.56942,0.66369,0.3779,1.49721,1.99089,1.17747,0.000511769,0.000511769,0.000511769
107,501.899,0.80333,0.5509,0.85154,0.92648,0.55598,0.66605,0.38326,1.52381,2.07607,1.20269,0.000500767,0.000500767,0.000500767
108,505.626,0.8164,0.59014,0.84219,0.9003,0.55882,0.64144,0.37572,1.54336,2.00433,1.21537,0.000489765,0.000489765,0.000489765
109,510.331,0.77935,0.54515,0.85824,0.89937,0.55882,0.65045,0.38134,1.56569,2.03144,1.22137,0.000478762,0.000478762,0.000478762
110,515.419,0.84729,0.58606,0.86544,0.92957,0.57353,0.67314,0.38769,1.59089,2.10037,1.23498,0.00046776,0.00046776,0.00046776
111,519.231,0.7813,0.55663,0.84165,0.86041,0.60294,0.69041,0.39455,1.56542,2.12936,1.20601,0.000456758,0.000456758,0.000456758
112,523.427,0.83919,0.5877,0.84531,0.92452,0.58824,0.6946,0.39287,1.5671,2.12369,1.20079,0.000445756,0.000445756,0.000445756
113,528.599,0.78543,0.55193,0.85342,0.89055,0.59838,0.69953,0.38773,1.55274,2.04374,1.19922,0.000434754,0.000434754,0.000434754
